gene,mean_R,mean_NR,diff_R_minus_NR,p,padj
SUB1,4.3923264,5.8769193,-1.4845929,1.0504068e-06,0.005173363799878478
GAPDH,9.33021,10.948737,-1.6185274,1.4680913e-06,0.005173363799878478
MYL6,8.071648,9.459214,-1.3875666,2.5407855e-06,0.005173363799878478
RACGAP1,0.1934607,0.49015042,-0.29668972,2.8313632e-06,0.005173363799878478
DEDD,1.0372282,1.5347782,-0.49755,2.8313632e-06,0.005173363799878478
RP11-274E7.2,0.97333753,1.7659172,-0.79257965,3.1536829e-06,0.005173363799878478
PSME1,7.8702583,9.316138,-1.4458799,3.1536829e-06,0.005173363799878478
DHCR24,0.066519395,0.30572477,-0.23920538,3.4883171e-06,0.005173363799878478
ACTR1A,1.2515645,1.9598085,-0.70824397,3.9070296e-06,0.005173363799878478
RARRES3,3.9395015,5.662599,-1.7230976,3.9070296e-06,0.005173363799878478
IFITM2,8.153206,9.755731,-1.6025248,4.8312168e-06,0.005173363799878478
PSME2P2,1.130676,1.9325905,-0.80191445,5.3685026e-06,0.005173363799878478
NUCB1,2.0450995,2.952533,-0.9074335,5.3685026e-06,0.005173363799878478
GTDC1,0.87059784,1.3622624,-0.49166453,6.619637e-06,0.005173363799878478
MLF1IP,0.10596874,0.48568392,-0.37971517,7.340956e-06,0.005173363799878478
BLVRA,0.62796474,1.2506459,-0.62268114,7.3454216e-06,0.005173363799878478
HLA-DPA1,3.6369305,5.9029694,-2.266039,7.3454216e-06,0.005173363799878478
GAPDHP1,0.9573352,1.5774045,-0.6200693,8.146962e-06,0.005173363799878478
ANXA5,2.208629,3.981126,-1.7724972,8.146962e-06,0.005173363799878478
RP5-940J5.9,8.207117,9.719725,-1.5126076,8.146962e-06,0.005173363799878478
UBE2T,0.21596366,0.65001136,-0.4340477,8.146962e-06,0.005173363799878478
HIST1H3G,0.008743517,0.18501426,-0.17627075,8.311838e-06,0.005173363799878478
CALM3,2.4585195,4.017944,-1.5594244,9.031712e-06,0.005377009908640859
TK1,0.10242999,0.56298375,-0.46055377,9.890208e-06,0.005481490414131258
TPX2,0.105636805,0.46044502,-0.3548082,1.0007833e-05,0.005481490414131258
OLA1P1,0.33003592,0.5934278,-0.26339185,1.1084208e-05,0.005837540975615132
FBXO7,1.8878268,2.7438743,-0.8560475,1.2270605e-05,0.005997357285078549
RHOA,5.5837393,6.9036164,-1.3198771,1.2270605e-05,0.005997357285078549
CLSPN,0.07991101,0.31787485,-0.23796384,1.35776e-05,0.005997357285078549
RP11-815N9.2,0.11869662,0.32630152,-0.20760489,1.35776e-05,0.005997357285078549
NUDT21,1.5113701,2.4356737,-0.92430365,1.35776e-05,0.005997357285078549
RNASEK-C17orf49,1.6824535,2.2792299,-0.59677637,1.6600598e-05,0.0063142217173764136
PSME2,4.1713066,6.2867813,-2.1154747,1.6600598e-05,0.0063142217173764136
IFI27L2,0.90037763,1.6815414,-0.7811638,1.6600598e-05,0.0063142217173764136
PGAM1,3.1289616,4.9079237,-1.7789621,1.6600598e-05,0.0063142217173764136
RP11-673C5.1,2.1400497,2.7659326,-0.62588286,1.6600598e-05,0.0063142217173764136
GPS1,1.220795,1.8692056,-0.64841056,1.8342918e-05,0.006451183302191948
TALDO1,1.4291602,2.4563208,-1.0271605,1.8342918e-05,0.006451183302191948
MYO1G,1.6929075,2.6202044,-0.927297,2.025859e-05,0.006451183302191948
NKG7,5.6551967,8.240178,-2.5849814,2.025859e-05,0.006451183302191948
UFC1,1.7621437,2.4997776,-0.7376338,2.025859e-05,0.006451183302191948
NCSTN,1.0061494,1.4303584,-0.424209,2.025859e-05,0.006451183302191948
RP11-490H24.5,0.52009267,0.93713313,-0.41704047,2.025859e-05,0.006451183302191948
PAIP2B,0.11674402,0.035585694,0.081158325,2.1356582e-05,0.006625318062337921
CIT,0.046928555,0.20527421,-0.15834565,2.1939633e-05,0.006625318062337921
KIF11,0.08711783,0.40782985,-0.32071203,2.2314995e-05,0.006625318062337921
RP11-119F19.2,0.081930526,0.22751261,-0.14558208,2.4543098e-05,0.006625318062337921
CDC45,0.044171803,0.29268467,-0.24851286,2.4638928e-05,0.006625318062337921
NDUFA9,1.1637595,1.8336637,-0.66990423,2.4676201e-05,0.006625318062337921
LAP3P2,0.12232297,0.22595808,-0.10363511,2.4676201e-05,0.006625318062337921
GAPDHP44,0.12576474,0.26026753,-0.13450278,2.4676201e-05,0.006625318062337921
FBXO5,0.14452446,0.41035733,-0.26583287,2.7156724e-05,0.006654543041057487
LUZP6,0.09708424,0.2540267,-0.15694247,2.7200358e-05,0.006654543041057487
PSMA6,2.4759173,3.752008,-1.2760906,2.7214957e-05,0.006654543041057487
BUB3,3.1836197,4.299368,-1.1157482,2.7214957e-05,0.006654543041057487
POMP,2.0711977,3.0429032,-0.97170544,2.7214957e-05,0.006654543041057487
TOP2A,0.110028185,0.5145271,-0.4044989,2.9937326e-05,0.0068466903688204185
ARF6,2.7514744,3.4943757,-0.7429013,3.0000834e-05,0.0068466903688204185
EMC7,1.4507551,2.2169154,-0.76616025,3.0000834e-05,0.0068466903688204185
BOLA3,0.39692074,0.76486415,-0.3679434,3.0000834e-05,0.0068466903688204185
PARPBP,0.06498281,0.22291942,-0.1579366,3.2711083e-05,0.0070212331445642555
GAPDHP65,0.6976731,1.1918799,-0.4942068,3.3056323e-05,0.0070212331445642555
SERPINB1,1.5604587,2.8365119,-1.2760532,3.3056323e-05,0.0070212331445642555
GZMH,2.2967474,4.435019,-2.1382716,3.3056323e-05,0.0070212331445642555
FAM96A,0.943114,1.5766813,-0.6335673,3.6406014e-05,0.0070212331445642555
MAD2L1,0.25388277,0.68585724,-0.43197447,3.6406014e-05,0.0070212331445642555
ERLEC1,1.1414559,1.6691302,-0.5276743,3.6406014e-05,0.0070212331445642555
CDKN2A,0.3698569,0.8327067,-0.4628498,3.6406014e-05,0.0070212331445642555
CHST12,1.5339425,2.5485437,-1.0146012,3.6406014e-05,0.0070212331445642555
