gene,mean_R,mean_NR,diff_R_minus_NR,p,padj
LAP3P2,0.1394599,0.3189276,-0.1794677,4.5512317e-07,0.0014443029778789965
PSME2P2,1.1249838,1.997689,-0.8727052,7.118668e-07,0.0014443029778789965
RP11-274E7.2,0.9779625,1.820578,-0.8426155,7.9520294e-07,0.0014443029778789965
ACTR1A,1.3639228,2.2416487,-0.87772584,7.9520294e-07,0.0014443029778789965
RP11-234B24.6,0.16171442,0.3375568,-0.17584239,8.878961e-07,0.0014443029778789965
RHOA,5.730399,7.1970305,-1.4666314,9.909489e-07,0.0014443029778789965
TALDO1,1.6998656,3.129716,-1.4298503,1.1054688e-06,0.0014443029778789965
PSME1,7.80678,9.24172,-1.4349403,1.373884e-06,0.0014443029778789965
ATP5E,2.6652927,3.6789832,-1.0136905,1.5305925e-06,0.0014443029778789965
RACGAP1,0.23002596,0.58254945,-0.3525235,1.704411e-06,0.0014443029778789965
GAPDHP44,0.12374868,0.2631416,-0.13939291,1.8971225e-06,0.0014443029778789965
POMP,2.2335873,3.5284941,-1.2949069,1.8971225e-06,0.0014443029778789965
FAM72B,0.07444532,0.23755631,-0.16311099,1.8971225e-06,0.0014443029778789965
CALM3,2.4029896,4.081992,-1.6790025,1.8971225e-06,0.0014443029778789965
GPS1,1.2882978,2.130759,-0.8424612,2.1106719e-06,0.0014443029778789965
ARF6,2.7061784,3.4622016,-0.75602317,2.1106719e-06,0.0014443029778789965
PSMA4,1.9050796,3.3509328,-1.4458532,2.3472073e-06,0.0014443029778789965
NUCB1,2.041509,3.2481577,-1.2066488,2.6090813e-06,0.0014443029778789965
LAMP2,1.2751672,2.2689297,-0.9937625,2.6090813e-06,0.0014443029778789965
MYL6,7.9554577,9.573904,-1.6184464,2.6090813e-06,0.0014443029778789965
BLVRA,0.6803706,1.6129351,-0.93256444,2.6090813e-06,0.0014443029778789965
MPP1,0.34545174,1.0899736,-0.74452186,2.6090813e-06,0.0014443029778789965
SUB1,4.432825,6.0665135,-1.6336884,2.6090813e-06,0.0014443029778789965
SKA1,0.049587842,0.23677918,-0.18719134,2.8988734e-06,0.0014443029778789965
