sg_target,context,lineage,state,median_activation_score,mean_activation_score,control_median_activation_score,control_mean_activation_score,median_delta_vs_control,mean_delta_vs_control,p_value,padj
ATXN7L3,Resting-Teff,Teff,Resting,-283.588433344877,-248.17234737214,-308.42607476262,-272.268229488136,24.837641417743,24.095882115996,3.78906989626306e-05,0.00106093957095365
ATXN7L3,Resting-Treg,Treg,Resting,-238.866406356328,-183.585969078921,-260.128164278425,-212.807010627519,21.261757922097,29.221041548598,1.2851305000262e-06,3.59836540007335e-05
ATXN7L3,Stimulated-Teff,Teff,Stimulated,614.15582600172,577.425169672074,615.298856776435,578.688840507669,-1.14303077471504,-1.26367083559501,0.740953525364576,20.7466987102081
ATXN7L3,Stimulated-Treg,Treg,Stimulated,655.74370722904,619.215706299645,648.497795670027,611.592588006722,7.24591155901351,7.62311829292355,0.541663959800439,15.1665908744123
BACH2,Resting-Teff,Teff,Resting,-293.230696953453,-252.296826382703,-308.42607476262,-272.268229488136,15.195377809167,19.971403105433,0.00555185689666639,0.155451993106659
BACH2,Resting-Treg,Treg,Resting,-244.65125463747,-188.893278399073,-260.128164278425,-212.807010627519,15.476909640955,23.913732228446,0.0267409677639622,0.748747097390944
BACH2,Stimulated-Teff,Teff,Stimulated,631.022472708748,595.665803596706,615.298856776435,578.688840507669,15.7236159323131,16.9769630890372,0.0213033299514624,0.596493238640948
BACH2,Stimulated-Treg,Treg,Stimulated,677.617621913688,641.716735472563,648.497795670027,611.592588006722,29.1198262436608,30.1241474658411,0.00270916262713185,0.0758565535596918
BATF,Resting-Teff,Teff,Resting,-296.702889692453,-269.228023836604,-308.42607476262,-272.268229488136,11.7231850701669,3.04020565153201,0.453349743855467,12.6937928279531
BATF,Resting-Treg,Treg,Resting,-251.434692975384,-204.823562805615,-260.128164278425,-212.807010627519,8.69347130304101,7.98344782190398,0.289349969660002,8.10179915048005
BATF,Stimulated-Teff,Teff,Stimulated,572.34394445784,550.764954913614,615.298856776435,578.688840507669,-42.9549123185955,-27.9238855940552,5.86556645067995e-06,0.000164235860619039
BATF,Stimulated-Treg,Treg,Stimulated,614.152893713066,578.370709843415,648.497795670027,611.592588006722,-34.3449019569609,-33.2218781633069,0.00115493495823538,0.0323381788305906
BPTF,Resting-Teff,Teff,Resting,-310.767927209842,-273.264647993891,-308.42607476262,-272.268229488136,-2.34185244722204,-0.996418505755003,0.799982279983023,22.3995038395246
BPTF,Resting-Treg,Treg,Resting,-224.482516577546,-181.491672284795,-260.128164278425,-212.807010627519,35.645647700879,31.315338342724,3.40751440919403e-08,9.54104034574327e-07
BPTF,Stimulated-Teff,Teff,Stimulated,589.621770853948,561.195875283463,615.298856776435,578.688840507669,-25.6770859224875,-17.4929652242067,0.0120243241054656,0.336681074953037
BPTF,Stimulated-Treg,Treg,Stimulated,666.914329027987,620.718845985516,648.497795670027,611.592588006722,18.4165333579602,9.12625797879423,0.38185998006294,10.6920794417623
CBFB,Resting-Teff,Teff,Resting,-282.358036196205,-264.558682257288,-308.42607476262,-272.268229488136,26.068038566415,7.70954723084799,0.000175812522727716,0.00492275063637605
CBFB,Resting-Treg,Treg,Resting,-254.331024972678,-204.773383705966,-260.128164278425,-212.807010627519,5.79713930574701,8.03362692155298,0.0177285893067233,0.496400500588253
CBFB,Stimulated-Teff,Teff,Stimulated,656.939538567848,609.236115756192,615.298856776435,578.688840507669,41.6406817914133,30.5472752485224,8.58555874886348e-08,2.40395644968177e-06
CBFB,Stimulated-Treg,Treg,Stimulated,658.940758116716,612.656341966368,648.497795670027,611.592588006722,10.4429624466887,1.06375395964665,0.572961504581892,16.042922128293
DNMT1,Resting-Teff,Teff,Resting,-261.430733472562,-223.527002101402,-308.42607476262,-272.268229488136,46.995341290058,48.741227386734,8.4765547117605e-14,2.37343531929294e-12
DNMT1,Resting-Treg,Treg,Resting,-243.122439722083,-190.338571136779,-260.128164278425,-212.807010627519,17.005724556342,22.46843949074,0.020228236306192,0.566390616573376
DNMT1,Stimulated-Teff,Teff,Stimulated,598.365140000796,562.12985262276,615.298856776435,578.688840507669,-16.9337167756393,-16.5589878849091,0.0862839104887164,2.41594949368406
DNMT1,Stimulated-Treg,Treg,Stimulated,606.324571083803,568.555981059673,648.497795670027,611.592588006722,-42.1732245862239,-43.0366069470484,0.000493138917087365,0.0138078896784462
ETS1,Resting-Teff,Teff,Resting,-260.922803414599,-225.456640992535,-308.42607476262,-272.268229488136,47.503271348021,46.811588495601,5.04782568092909e-06,0.000141339119066015
ETS1,Resting-Treg,Treg,Resting,-222.936638848458,-186.586666136878,-260.128164278425,-212.807010627519,37.191525429967,26.220344490641,0.00526253427242918,0.147350959628017
ETS1,Stimulated-Teff,Teff,Stimulated,638.678128065937,597.86845879648,615.298856776435,578.688840507669,23.379271289502,19.1796182888107,0.00414770610989005,0.116135771076921
ETS1,Stimulated-Treg,Treg,Stimulated,663.683177861266,622.338425166121,648.497795670027,611.592588006722,15.1853821912391,10.7458371593996,0.379003496115422,10.6120978912318
FOXO1,Resting-Teff,Teff,Resting,-252.968470051623,-219.198502989505,-308.42607476262,-272.268229488136,55.457604710997,53.069726498631,2.86368747981691e-08,8.01832494348736e-07
FOXO1,Resting-Treg,Treg,Resting,-233.130226656282,-165.558342548381,-260.128164278425,-212.807010627519,26.997937622143,47.248668079138,0.000364055260589599,0.0101935472965087
