gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,KO,cell_type,stimulation
ATXN7L3,60.99750795646,-1.0241953317158,0.209940174383976,-4.87851043622823,1.06890009288189e-06,0.027548762093845,ATXN7L3,Teff,Resting
ATXN7L3,215.089087321807,-0.848857475492294,0.133190594912667,-6.3732538776397,1.85059159546073e-10,4.88963311352634e-06,ATXN7L3,Teff,Stimulated
ATXN7L3,27.8776540582329,-1.5816103130913,0.312384588847329,-5.06302285566422,4.1266035814915e-07,0.0103326027076966,ATXN7L3,Treg,Resting
ATXN7L3,115.296899705084,-0.93521712447336,0.164775954264704,-5.6756893240077,1.38131275379507e-08,0.00036416929441053,ATXN7L3,Treg,Stimulated
BATF,283.430114504848,-2.97893323633409,0.195712086418891,-15.220997797541,2.56587587259172e-52,6.61303188643064e-48,BATF,Teff,Resting
ABCF1,1257.98149338607,0.144834225875414,0.0443135584398527,3.2683952942303,0.00108159188633345,0.014497163689064,BATF,Teff,Stimulated
ARID5A,2089.42202339904,0.198317654073197,0.0642619505239956,3.08608208210463,0.00202812826517885,0.0239748704125049,BATF,Teff,Stimulated
BATF,2790.38579210608,-4.9298831154339,0.110203035197387,-44.7345493398063,0,0,BATF,Teff,Stimulated
CREB1,978.789645285704,-0.233369757834597,0.0546569732645069,-4.26971608371411,1.95721950466837e-05,0.00047851732880743,BATF,Teff,Stimulated
DDX39B,4135.42710955936,-0.0929161365992979,0.032352240798074,-2.87201548663144,0.00407862979021901,0.0410212558960137,BATF,Teff,Stimulated
ETS1,2860.92332119418,0.224994341388639,0.0440169021039611,5.1115442167474,3.19536011451877e-07,1.3683777999848e-05,BATF,Teff,Stimulated
FOXO1,778.318729449621,0.66823950989095,0.0744745676864932,8.97272089854834,2.89278405069162e-19,1.09427592228663e-16,BATF,Teff,Stimulated
FOXP1,647.975720114202,0.768970055061118,0.114224295888536,6.73210588937668,1.67224866001465e-11,1.67446193029996e-09,BATF,Teff,Stimulated
FOXP3,589.638667959955,1.16031665787743,0.271121786722958,4.27968800258417,1.87155488256412e-05,0.00046005116228805,BATF,Teff,Stimulated
GATA3,3454.11109377787,-0.333363701604733,0.0675959132690917,-4.93171384899631,8.15112653031489e-07,3.15346707641557e-05,BATF,Teff,Stimulated
HIVEP2,384.325458732808,0.288043345776231,0.093434366080823,3.08284154812016,0.002050342947439,0.0241897099887394,BATF,Teff,Stimulated
IFNGR1,288.308050527733,0.398541863791325,0.0949503774456438,4.19736997906594,2.7003259379275e-05,0.00063842080942181,BATF,Teff,Stimulated
IFNGR2,157.094246708159,-0.672935124940432,0.169796809356821,-3.96317885765619,7.39583298623353e-05,0.00153064519158857,BATF,Teff,Stimulated
IKZF2,152.556332133692,-0.740433464632736,0.221986977625397,-3.33548153388627,0.00085151808993874,0.0118933059987547,BATF,Teff,Stimulated
IKZF3,165.256757594203,0.411725765274179,0.14085125067545,2.92312466733347,0.0034653773764481,0.0361620759482531,BATF,Teff,Stimulated
IL4R,917.601293148619,0.436693835050983,0.0534106102590876,8.17616261886243,2.93026457408083e-16,6.65072382830547e-14,BATF,Teff,Stimulated
IRF1,2344.53732354358,-0.264134570914697,0.0784373736393656,-3.36745812180197,0.00075864547609719,0.0108635479426831,BATF,Teff,Stimulated
IRF2,703.172321118628,-0.280004180554103,0.0799640357653043,-3.50162642335761,0.00046242752060257,0.00730772735516971,BATF,Teff,Stimulated
IRF4,2306.91946479116,0.258006001706445,0.0688738306276197,3.74606725595686,0.00017962845151312,0.0032507370302094,BATF,Teff,Stimulated
KLF13,1053.83657415863,0.286467274323806,0.0640419502806916,4.47311915187215,7.70867939386978e-06,0.00022288067088263,BATF,Teff,Stimulated
KLF6,1813.98314207354,0.809750143682185,0.0800778380941111,10.1120380239353,4.88571898676753e-24,3.69631784232223e-21,BATF,Teff,Stimulated
MYB,965.681402623667,-0.253007032425335,0.0841290134375677,-3.00736953979726,0.00263519206879279,0.0293426374430255,BATF,Teff,Stimulated
NFKB2,2488.69490616257,0.480220617564093,0.0739556032407761,6.49336353867125,8.39408007757182e-11,7.52043305897191e-09,BATF,Teff,Stimulated
PRDM1,644.544699441959,0.679806957395182,0.104940735354136,6.47800832632901,9.29412262147873e-11,8.21865986099334e-09,BATF,Teff,Stimulated
RARA,250.259376968035,0.313094491465611,0.0987784888770089,3.16966269706202,0.00152615989872784,0.0190322760997031,BATF,Teff,Stimulated
RUNX1,1322.00235339917,-0.844950892593312,0.0777251197908563,-10.8710143498899,1.58429553960793e-27,2.15749366583809e-24,BATF,Teff,Stimulated
STAT5A,882.935864889709,0.645809283485191,0.0872901153970638,7.39842398589513,1.37810241245939e-13,1.93474212916206e-11,BATF,Teff,Stimulated
TNFAIP3,1244.0097685496,0.533621453889898,0.0931703886770219,5.72737176979817,1.0199848122262e-08,6.14608547473293e-07,BATF,Teff,Stimulated
ZBTB32,1146.2955763363,0.362601196930071,0.0968289062000619,3.74476188113585,0.00018056494746932,0.00325686550283081,BATF,Teff,Stimulated
ZNF217,784.298015193371,0.181008723990186,0.0574747553026076,3.1493604981381,0.00163628209440325,0.0200852121918859,BATF,Teff,Stimulated
BATF,477.051575069272,-3.95379812807998,0.278367921043058,-14.2034977064344,8.71516149623234e-46,8.7474075937684e-42,BATF,Treg,Resting
FOXO1,298.475181914901,0.425674623016428,0.0989375586861676,4.30245731418013,1.68914220152773e-05,0.00443715194942488,BATF,Treg,Resting
KLF3,198.35816014624,-0.474664120509031,0.126256143323219,-3.75953286719586,0.00017023091351737,0.0266969949839672,BATF,Treg,Resting
KLF6,375.869176056091,0.605375249964439,0.0838808488786758,7.2170854021762,5.31136234745301e-13,2.6655071940693e-09,BATF,Treg,Resting
BATF,3917.7332136561,-4.11487041409226,0.151140844113085,-27.2254031545138,3.25045590001682e-163,4.41704452253286e-159,BATF,Treg,Stimulated
CIC,95.644765969972,0.471925468806371,0.144925420332223,3.25633327627785,0.00112861190882451,0.0227652654833823,BATF,Treg,Stimulated
FOXO1,802.408811280414,0.526466852437729,0.0874425428559847,6.02071755054979,1.73645542266513e-09,3.42499925999148e-07,BATF,Treg,Stimulated
FOXP1,910.694358125482,0.809092851053001,0.13132303023424,6.16108880224457,7.22464605073096e-10,1.66399517259971e-07,BATF,Treg,Stimulated
IL2RA,12841.4206426926,-0.68190514947128,0.111648314109251,-6.10761707341155,1.01129627944389e-09,2.18366410801704e-07,BATF,Treg,Stimulated
JUNB,4746.96427898961,0.299469498907283,0.101401741364774,2.95329739782274,0.00314398910569953,0.0467948170398147,BATF,Treg,Stimulated
KLF6,1176.79118748282,0.784161516247997,0.125886389124717,6.22912073100388,4.69060225251377e-10,1.15721587751601e-07,BATF,Treg,Stimulated
NFKB2,2130.29600507154,0.687066778127079,0.140908199573861,4.87598862383403,1.08264848116611e-06,9.1379566525256e-05,BATF,Treg,Stimulated
PTEN,719.186799539751,0.272460606213494,0.0734485199653364,3.70954522081698,0.00020763187125365,0.00658978763435427,BATF,Treg,Stimulated
RUNX1,618.962301449407,-0.435570711280768,0.0906401958014702,-4.80549172946185,1.54371619885117e-06,0.00012196255480342,BATF,Treg,Stimulated
SATB1,1766.78068358899,-0.987358564307375,0.14805318173169,-6.66894525844584,2.57648324307047e-11,8.75295769752116e-09,BATF,Treg,Stimulated
SMARCB1,907.305862192513,-0.193865676916241,0.0619256063569329,-3.13062218234601,0.00174436419503929,0.0307846299303751,BATF,Treg,Stimulated
SP3,632.805673228492,0.22232425250568,0.0709832298437885,3.1320672924428,0.00173580085529985,0.0307132784149345,BATF,Treg,Stimulated
STAT5A,567.648371596568,0.412656671508225,0.113611273634158,3.63218066577643,0.00028103624611605,0.0080400032599392,BATF,Treg,Stimulated
