index,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,n_downstream
ENSG00000121410_Rest,A1BG,Rest,ENSG00000121410,530,734.0,1,0,1,0.0,False,,False,1 DE gene,no on-target KD,1
ENSG00000121410_Stim48hr,A1BG,Stim48hr,ENSG00000121410,166,825.0,0,0,0,0.0,False,,False,no effect,no on-target KD,0
ENSG00000121410_Stim8hr,A1BG,Stim8hr,ENSG00000121410,645,753.0,1,0,1,0.0,False,,False,1 DE gene,no on-target KD,1
ENSG00000142867_Rest,BCL10,Rest,ENSG00000142867,187,870.0,0,1,1,-18.312643813851704,True,45.26578791266252,False,1 DE gene,on-target KD,0
ENSG00000142867_Stim48hr,BCL10,Stim48hr,ENSG00000142867,512,427.0,1495,1485,2980,-10.545179020665367,True,54.32294421612116,False,>10 DE genes,on-target KD,2979
ENSG00000142867_Stim8hr,BCL10,Stim8hr,ENSG00000142867,137,687.0,2190,1266,3456,-13.113211002631488,True,41.97375066832826,False,>10 DE genes,on-target KD,3455
ENSG00000112237_Rest,CCNC,Rest,ENSG00000112237,459,3530.0,1630,1101,2731,-31.16137177899652,True,71.94863487264222,False,>10 DE genes,on-target KD,2730
ENSG00000112237_Stim48hr,CCNC,Stim48hr,ENSG00000112237,627,3051.0,2454,1637,4091,-43.159386311488575,True,160.42707347149587,False,>10 DE genes,on-target KD,4090
ENSG00000112237_Stim8hr,CCNC,Stim8hr,ENSG00000112237,385,3668.0,1441,830,2271,-41.36951285831497,True,129.00128906373314,False,>10 DE genes,on-target KD,2270
ENSG00000130165_Rest,ELOF1,Rest,ENSG00000130165,494,3290.0,1553,1747,3300,-34.57393128129564,True,46.76001296203389,True,>10 DE genes,on-target KD,3299
ENSG00000130165_Stim48hr,ELOF1,Stim48hr,ENSG00000130165,393,1723.0,1824,2434,4258,-25.77360095212546,True,57.27683218381419,True,>10 DE genes,on-target KD,4257
ENSG00000130165_Stim8hr,ELOF1,Stim8hr,ENSG00000130165,582,2683.0,2163,2050,4213,-41.60267421150828,True,83.48804309486414,True,>10 DE genes,on-target KD,4212
ENSG00000065911_Rest,MTHFD2,Rest,ENSG00000065911,352,307.0,0,1,1,-13.173434532892816,True,107.3025215779262,False,1 DE gene,on-target KD,0
ENSG00000065911_Stim48hr,MTHFD2,Stim48hr,ENSG00000065911,568,230.0,492,306,798,-25.236623636367337,True,673.5049872085563,False,>10 DE genes,on-target KD,797
ENSG00000065911_Stim8hr,MTHFD2,Stim8hr,ENSG00000065911,186,293.0,2,1,3,-29.194765785599767,True,459.92145530526255,False,2-10 DE genes,on-target KD,2
ENSG00000173011_Rest,TADA2B,Rest,ENSG00000173011,555,1534.0,3451,1230,4681,-26.45606279357548,True,53.34040831478646,True,>10 DE genes,on-target KD,4680
ENSG00000173011_Stim48hr,TADA2B,Stim48hr,ENSG00000173011,35,1178.0,3626,1634,5260,-17.33454831744466,True,31.26569550479424,False,>10 DE genes,on-target KD,5259
ENSG00000173011_Stim8hr,TADA2B,Stim8hr,ENSG00000173011,602,1489.0,4151,1769,5920,-23.50878062599965,True,43.78225981952628,True,>10 DE genes,on-target KD,5919
ENSG00000141968_Rest,VAV1,Rest,ENSG00000141968,57,414.0,51,19,70,-15.63560163562742,True,73.87880942055504,False,>10 DE genes,on-target KD,69
ENSG00000141968_Stim48hr,VAV1,Stim48hr,ENSG00000141968,491,321.0,1911,1664,3575,-10.859022341003556,True,79.07309734310732,False,>10 DE genes,on-target KD,3574
ENSG00000141968_Stim8hr,VAV1,Stim8hr,ENSG00000141968,326,504.0,3303,1595,4898,-15.097187610756944,True,72.46662038046257,False,>10 DE genes,on-target KD,4897
