rank,gene,leaderboard_status,orthogonal_dataset_count,rank_input_strongest_de,strongest_condition,rest_de,k562_de,rpe1_de
1,PGGT1B,clears_pre_registered_compute_bar,6,3014,Stim8hr,175,1,
2,CCDC22,clears_pre_registered_compute_bar,6,619,Stim48hr,116,13,
3,LETM2,clears_pre_registered_compute_bar,5,386,Stim48hr,18,,
4,RCC1L,not_cleared_pre_registered_compute_bar,6,1167,Stim48hr,58,5,
5,GAS2L1,not_cleared_pre_registered_compute_bar,6,457,Stim48hr,20,1,
6,CYB5RL,not_cleared_pre_registered_compute_bar,6,389,Stim48hr,11,13,
7,BCKDHA,not_cleared_pre_registered_compute_bar,6,374,Stim8hr,291,1,
8,FANCL,not_cleared_pre_registered_compute_bar,6,329,Stim48hr,110,0,
9,CCDC136,not_cleared_pre_registered_compute_bar,6,263,Stim48hr,17,0,
10,ZC3H12A,not_cleared_pre_registered_compute_bar,6,261,Stim8hr,181,5,
11,MITD1,not_cleared_pre_registered_compute_bar,6,250,Stim48hr,11,1,
12,MCAT,not_cleared_pre_registered_compute_bar,6,780,Stim48hr,113,20,
13,SNAP29,not_cleared_pre_registered_compute_bar,6,407,Stim8hr,19,1,
14,SCO2,not_cleared_pre_registered_compute_bar,6,369,Stim8hr,53,0,
15,RWDD2B,not_cleared_pre_registered_compute_bar,6,720,Stim8hr,190,1,
16,GZMB,not_cleared_pre_registered_compute_bar,5,496,Stim8hr,261,,
17,DAPK2,not_cleared_pre_registered_compute_bar,5,350,Stim48hr,11,,
18,TNNC1,not_cleared_pre_registered_compute_bar,5,260,Stim48hr,104,,
19,NDUFAF3,not_cleared_pre_registered_compute_bar,2,1923,Stim48hr,6,14,6
20,CLCC1,not_cleared_pre_registered_compute_bar,2,1732,Stim48hr,239,4,3
21,CRLS1,not_cleared_pre_registered_compute_bar,2,835,Stim48hr,111,6,8
22,MMGT1,not_cleared_pre_registered_compute_bar,2,730,Stim48hr,31,0,3
23,DPH6,not_cleared_pre_registered_compute_bar,2,718,Stim48hr,32,21,4
24,XRCC2,not_cleared_pre_registered_compute_bar,2,515,Stim48hr,322,1,6
25,CPOX,not_cleared_pre_registered_compute_bar,2,326,Rest,326,1,0
26,VEZT,not_cleared_pre_registered_compute_bar,2,296,Stim8hr,271,3,3
27,SPTSSA,not_cleared_pre_registered_compute_bar,2,250,Stim48hr,20,2,9
28,TWF1,not_cleared_pre_registered_compute_bar,2,234,Rest,234,0,3
29,PFDN5,not_cleared_pre_registered_compute_bar,2,218,Rest,218,1,7
30,SLC25A26,not_cleared_pre_registered_compute_bar,2,203,Stim48hr,12,0,0
31,CAP1,not_cleared_pre_registered_compute_bar,2,190,Rest,190,3,15
32,GNPNAT1,not_cleared_pre_registered_compute_bar,2,178,Stim8hr,3,24,6
