rank,gene,typed_status,strongest_condition,strongest_n_total_de_genes,rest_de,stim8hr_de,stim48hr_de,k562_de,rpe1_de,specificity_status,collectri_target_count,standard_t_cell_annotation
1,A1BG,not_assayed,,,1,1,0,4,,cell_type_specific_context,0,False
2,A2M,not_assayed,,,122,164,45,,,not_assayed,0,False
3,AAAS,associative_only,Stim48hr,1,0,1,1,1,0,cell_type_specific_context,0,False
4,AACS,evidence_attached,Stim48hr,17,5,9,17,67,,specificity_warning,0,False
5,AAGAB,evidence_attached,Stim8hr,34,3,34,1,5,,cell_type_specific_context,0,False
6,AAK1,associative_only,Stim8hr,7,3,7,4,6,,cell_type_specific_context,0,False
7,AAMDC,associative_only,Rest,2,2,1,30,1,,cell_type_specific_context,0,False
8,AAR2,evidence_attached,Rest,37,37,21,5,377,9,specificity_warning,0,False
9,AARS2,not_assayed,,,0,0,0,387,25,specificity_warning,0,False
10,AARSD1,not_assayed,,,0,1,0,1,,cell_type_specific_context,0,False
11,AASDH,evidence_attached,Rest,151,151,1,101,0,,cell_type_specific_context,0,False
12,AASDHPPT,evidence_attached,Rest,13,13,1,3,3,85,cell_type_specific_context,0,False
13,AASS,evidence_attached,Stim48hr,26,1,0,26,,,not_assayed,0,False
14,ABAT,not_assayed,,,0,1,0,,,not_assayed,0,False
15,ABCA1,not_assayed,,,16,42,11,,,not_assayed,0,False
16,ABCA2,associative_only,Stim8hr,3,1,3,1,,,not_assayed,0,False
17,ABCA3,evidence_attached,Stim48hr,185,1,8,185,,,not_assayed,0,False
18,ABCA5,evidence_attached,Stim48hr,35,4,33,35,,,not_assayed,0,False
19,ABCA7,associative_only,Stim48hr,2,1,0,2,2,,cell_type_specific_context,0,False
20,ABCB1,not_assayed,,,2,5,2,,,not_assayed,0,False
21,ABCB6,associative_only,Rest,4,4,1,1,5,,cell_type_specific_context,0,False
22,ABCB7,not_assayed,,,0,231,0,143,1136,specificity_warning,0,False
23,ABCB8,associative_only,Stim48hr,4,3,1,4,11,,cell_type_specific_context,0,False
24,ABCB9,not_assayed,,,1,1,1,1,,cell_type_specific_context,0,False
25,ABCC1,evidence_attached,Rest,88,88,54,37,40,,specificity_warning,0,False
26,ABCC10,not_assayed,,,0,1,0,0,,cell_type_specific_context,0,False
27,ABCC2,not_assayed,,,0,1,0,,,not_assayed,0,False
28,ABCC3,not_assayed,,,1,2,3,,,not_assayed,0,False
29,ABCC4,evidence_attached,Stim48hr,35,1,1,35,1,,cell_type_specific_context,0,False
30,ABCC5,associative_only,Rest,1,1,1,1,3,,cell_type_specific_context,0,False
31,ABCC8,not_assayed,,,0,0,0,,,not_assayed,0,False
32,ABCD2,evidence_attached,Stim48hr,15,6,4,15,,,not_assayed,0,False
33,ABCD3,associative_only,Rest,6,6,2,1,2,,cell_type_specific_context,0,False
34,ABCD4,associative_only,Rest,1,1,1,10,0,,cell_type_specific_context,0,False
35,ABCE1,associative_only,Stim8hr,4,0,4,8,250,1861,specificity_warning,0,False
36,ABCF2,associative_only,Stim48hr,5,1,1,5,1,,cell_type_specific_context,0,False
37,ABCF3,not_assayed,,,0,0,0,2,,cell_type_specific_context,0,False
38,ABCG1,not_assayed,,,0,0,0,28,584,specificity_warning,0,False
39,ABHD10,associative_only,Rest,2,2,1,2,0,,cell_type_specific_context,0,False
40,ABHD11,not_assayed,,,3,1,2,1,30,cell_type_specific_context,0,False
41,ABHD12,evidence_attached,Rest,447,447,3,1,0,,cell_type_specific_context,0,False
42,ABHD13,evidence_attached,Rest,214,214,194,70,7,,cell_type_specific_context,0,False
43,ABHD14A,evidence_attached,Rest,101,101,3,6,13,,cell_type_specific_context,0,False
44,ABHD14B,associative_only,Rest,10,10,7,4,5,,cell_type_specific_context,0,False
45,ABHD15,not_assayed,,,0,0,29,,,not_assayed,0,False
46,ABHD16A,associative_only,Rest,5,5,2,3,2,,cell_type_specific_context,0,False
47,ABHD16B,not_assayed,,,10,3,2,,,not_assayed,0,False
48,ABHD17A,not_assayed,,,2,123,67,4,4,cell_type_specific_context,0,False
