gene,k562_de,k562_ad,is_control
MED19,3716,5528,False
MED12,3576,5523,False
HSPA9,3455,5448,False
GAB2,3406,5361,False
SUPT5H,3403,5371,False
MED30,3283,5496,False
TAF2,3092,5419,False
SUPT6H,3029,5187,False
QARS,3019,4968,False
HARS,2806,4640,False
MED10,2803,5450,False
KDM1A,2645,5249,False
CHMP6,2641,3381,False
SRP68,2535,3689,False
EIF2B5,2531,4671,False
MED6,2526,5261,False
KRR1,2503,3034,False
TIMM23B,2496,4136,False
SRP72,2448,3287,False
KAT8,2388,2550,False
MAX,2367,5034,False
GPN3,2290,4913,False
KANSL2,2286,3335,False
DBR1,2273,2870,False
OXA1L,2253,3470,False
DHX15,2217,3603,False
TARS,2190,3442,False
EIF2B3,2184,3712,False
RARS,2179,3805,False
DICER1,2162,3312,False
LDB1,2146,4904,False
TSR2,2096,2669,False
EIF3H,2094,2216,False
MTOR,2044,2492,False
GEMIN5,2035,2411,False
VPS72,2033,2234,False
TAF1,2029,4326,False
MED7,2016,4918,False
RPL24,1998,2109,False
WDR82,1995,4135,False
PMPCB,1957,3277,False
TTI1,1955,3460,False
NAA25,1949,3144,False
SSRP1,1929,4257,False
GFER,1927,2290,False
SMC1A,1926,3495,False
EIF4E,1896,2219,False
RBM14-RBM4,1896,2545,False
YEATS4,1886,2178,False
DOHH,1884,3544,False
INTS3,1876,2530,False
NKX6-1,1859,4587,False
PSMG3,1812,2082,False
ETV4,1779,2861,False
LSM6,1774,2104,False
INTS8,1747,3757,False
GTF2H1,1744,3586,False
DNAJC19,1739,3844,False
FARSA,1733,2352,False
PHB,1730,3268,False
TOMM22,1700,2557,False
CPSF3,1699,1960,False
NEDD8,1693,2627,False
NCBP2,1669,4749,False
VARS,1669,2186,False
CSE1L,1645,2443,False
TRRAP,1624,2114,False
EIF2B4,1620,3022,False
EIF2B2,1616,2793,False
CSNK2B,1614,3081,False
RPS19,1600,2130,False
MED11,1595,4252,False
HSD17B12,1581,2215,False
SRPRB,1566,1999,False
PTPN1,1561,1844,False
NUMA1,1547,3962,False
KANSL3,1546,1835,False
CSTF3,1543,3361,False
FBXL14,1542,2152,False
DHDDS,1538,2178,False
GPS1,1517,2319,False
DDX47,1515,2050,False
SFSWAP,1506,2506,False
TAF8,1481,4217,False
