gene,rpe1_de,is_control
SMN2,4312,False
C14orf178,4296,False
SNRNP200,4199,False
SART1,4011,False
DDX23,4001,False
CNOT1,3949,False
PRPF6,3947,False
PRPF31,3870,False
CSE1L,3831,False
TRAPPC11,3791,False
PSMB5,3762,False
SPC25,3603,False
EIF2B5,3599,False
SMG5,3599,False
EIF3CL,3589,False
RNF113A,3581,False
DHX8,3501,False
GTF2E2,3499,False
RAC3,3499,False
SF3B3,3483,False
SART3,3464,False
SFPQ,3410,False
EIF2B2,3399,False
SSU72,3399,False
TRNT1,3319,False
SRP72,3309,False
TIMM23B,3297,False
EIF2B4,3283,False
EIF2S1,3277,False
WDR70,3273,False
PRPF3,3271,False
CACTIN,3228,False
IK,3221,False
PPP6C,3217,False
PSMC5,3213,False
PSMA4,3210,False
SIRT7,3186,False
EIF2B3,3170,False
TARDBP,3155,False
CLOCK,3153,False
THAP1,3131,False
SMU1,3099,False
MED19,3090,False
SNRPD1,3049,False
TRAPPC5,3031,False
ZMAT2,3018,False
PSMC1,3011,False
POLR2I,2982,False
INTS8,2971,False
GPS1,2944,False
RUVBL1,2929,False
RABGGTA,2901,False
SON,2899,False
STX5,2871,False
GBF1,2844,False
UBL5,2822,False
RTRAF,2818,False
EFTUD2,2799,False
PRPF8,2792,False
DBR1,2780,False
NUP107,2780,False
MTOR,2774,False
PSMB2,2761,False
RPL7,2761,False
NUP98,2759,False
CDC5L,2756,False
YTHDC1,2747,False
ATP2A2,2729,False
SNRPC,2698,False
SRSF7,2680,False
EIF3B,2669,False
BET1,2664,False
KPNB1,2661,False
TREX2,2660,False
TPT1,2651,False
NPLOC4,2649,False
MCM3,2648,False
RBMX2,2641,False
ETF1,2637,False
PSMA3,2626,False
RPS13,2621,False
TAF2,2615,False
RPL23,2613,False
WEE1,2603,False
HSPA5,2591,False
CNOT3,2584,False
SRP68,2562,False
HARS,2555,False
GEMIN5,2538,False
ADAM10,2531,False
IPO13,2524,False
RABGGTB,2517,False
DHX15,2516,False
SLU7,2493,False
PRPF19,2492,False
PSMD14,2492,False
DNAJC17,2489,False
CPSF3,2487,False
QARS,2480,False
PPP1R37,2459,False
HSPA9,2447,False
IGBP1,2446,False
EIF3D,2445,False
PSMB6,2436,False
PRPF4,2426,False
NAA38,2418,False
DHX16,2412,False
MCM6,2400,False
PAXBP1,2392,False
EIF2S3,2390,False
U2AF1,2386,False
RPL35A,2382,False
CNOT2,2379,False
PLK4,2353,False
ZC3H13,2351,False
RPL36,2351,False
SNRPB,2322,False
POLD1,2321,False
HNRNPK,2306,False
GPKOW,2293,False
EHMT2,2289,False
WTAP,2275,False
LSM4,2268,False
